Дата,Участок,Наименование оборудования,Узел,Описание коренной причины,Работы по устранению неисправностей,description,recommendation
2020-11-23 00:00:00,ЭК,ГДЭС,ДГУ№2,Увеличенный люфт в подшипнике главного винта,"Разборка насоса, замена подшипника",ЭК ГДЭС ДГУ№2 Увеличенный люфт в подшипнике главного винта,"Разборка насоса, замена подшипника"
2020-11-25 00:00:00,ЭК,ГДЭС,ДГУ№2,Вибрация установки на запуске и выбеге,"Полная разборка, чистка. ",ЭК ГДЭС ДГУ№2 Вибрация установки на запуске и выбеге,"Полная разборка, чистка. "
2020-11-29 00:00:00,ЭК,ГДЭС,ДГУ№5,Износ,Замена на исправный,ЭК ГДЭС ДГУ№5 Износ,Замена на исправный
2020-12-03 00:00:00,ЭК,ГДЭС,ДГУ№5,Износ,Замена на исправный,ЭК ГДЭС ДГУ№5 Износ,Замена на исправный
2020-12-03 00:00:00,ЭК,ГДЭС,Насосное оборудование,Износ,"Замена пошипника,уплотнений",ЭК ГДЭС Насосное оборудование Износ,"Замена пошипника,уплотнений"
2020-12-05 00:00:00,ЭК,Мазутное хозяйство,Насосное оборудование емкости приема мазута,Износ,Замена винтовой пары,ЭК Мазутное хозяйство Насосное оборудование емкости приема мазута Износ,Замена винтовой пары
2020-12-06 00:00:00,ЭК,Мазутное хозяйство,Насосное оборудование емкости приема мазута,Износ,Монтаж и подключение на приемную емкость,ЭК Мазутное хозяйство Насосное оборудование емкости приема мазута Износ,Монтаж и подключение на приемную емкость
2020-12-06 00:00:00,ЭК,Мазутное хозяйство,Насосное оборудование емкости приема мазута,Износ,Демонтаж для ремонта из приемной емкости,ЭК Мазутное хозяйство Насосное оборудование емкости приема мазута Износ,Демонтаж для ремонта из приемной емкости
2020-12-07 00:00:00,ЭК,ГДЭС,ДГУ№5,Износ,Замена на исправный,ЭК ГДЭС ДГУ№5 Износ,Замена на исправный
2020-12-09 00:00:00,ЭК,ГДЭС,ДГУ№6,Износ,Замена на исправный,ЭК ГДЭС ДГУ№6 Износ,Замена на исправный
2020-12-09 00:00:00,ЭК,ГДЭС,ДГУ№4,Износ,Замена прокладок выход антифриза из ГБЦ в общий коллектор 18 шт.,ЭК ГДЭС ДГУ№4 Износ,Замена прокладок выход антифриза из ГБЦ в общий коллектор 18 шт.
2020-12-09 00:00:00,ЭК,ГДЭС,ДГУ№4,Износ,Замена на исправный,ЭК ГДЭС ДГУ№4 Износ,Замена на исправный
2020-12-16 00:00:00,ЭК,ГДЭС,ДГУ№1,Вибрация установки на запуске и выбеге,"Полная разборка, чистка. ",ЭК ГДЭС ДГУ№1 Вибрация установки на запуске и выбеге,"Полная разборка, чистка. "
2020-12-21 00:00:00,ЭК,ГДЭС,ДГУ№6,Течь водогрейных трубок.,Ремонт (сварочные работы).,ЭК ГДЭС ДГУ№6 Течь водогрейных трубок.,Ремонт (сварочные работы).
2020-12-23 00:00:00,ЭК,ГДЭС,ДГУ№2,Износ,Замена.,ЭК ГДЭС ДГУ№2 Износ,Замена.
2020-12-26 00:00:00,ЭК,ГДЭС,ДГУ№4,Износ,Замена изготовлен новый (Доринг),ЭК ГДЭС ДГУ№4 Износ,Замена изготовлен новый (Доринг)
2020-12-29 00:00:00,ЭК,ГДЭС,ДГУ№5,Течь водогрейных трубок.,Ремонт (сварочные работы).,ЭК ГДЭС ДГУ№5 Течь водогрейных трубок.,Ремонт (сварочные работы).
2021-01-01 00:00:00,ЭК,ГДЭС,ДГУ№5,Нагар на лопатках направляющего аппарата турбины и внутреннего корпуса,Демонтаж картриджа турбины. Очистка от нагара рабочего колеса и напр. аппарата турбины,ЭК ГДЭС ДГУ№5 Нагар на лопатках направляющего аппарата турбины и внутреннего корпуса,Демонтаж картриджа турбины. Очистка от нагара рабочего колеса и напр. аппарата турбины
2021-01-05 00:00:00,ЭК,Мазутное хозяйство,Насосное оборудование емкости приема мазута,Износ,Замена винтовой пары,ЭК Мазутное хозяйство Насосное оборудование емкости приема мазута Износ,Замена винтовой пары
2021-01-07 00:00:00,ЭК,ГДЭС,ДГУ№2,Износ,Замена на исправный,ЭК ГДЭС ДГУ№2 Износ,Замена на исправный
2021-01-10 00:00:00,ЭК,ГДЭС,ДГУ№2,Прогорание выхлопного клапана,Замена ГБЦ-В3 (на отремонтированную с ЗИПа),ЭК ГДЭС ДГУ№2 Прогорание выхлопного клапана,Замена ГБЦ-В3 (на отремонтированную с ЗИПа)
2021-01-13 00:00:00,ЭК,ГДЭС,Цилиндропоршневая группа,Износ,Ремонт ГБЦ. Замена седел клапанов.Резиновых уплотнений.Притирка клапанов.,ЭК ГДЭС Цилиндропоршневая группа Износ,Ремонт ГБЦ. Замена седел клапанов.Резиновых уплотнений.Притирка клапанов.
2021-01-18 00:00:00,ЭК,ГДЭС,ДГУ№6,Износ,Замена.,ЭК ГДЭС ДГУ№6 Износ,Замена.
2021-01-19 00:00:00,ЭК,ГДЭС,ДГУ№5,Течь водогрейных трубок.,Ремонт (сварочные работы).,ЭК ГДЭС ДГУ№5 Течь водогрейных трубок.,Ремонт (сварочные работы).
2021-01-20 00:00:00,ЭК,ГДЭС Тепловой пункт, пиковый котел SAACKE,Нестабильноый запуск и горение,Очистка от нагара ротационной форсунки,ЭК ГДЭС Тепловой пункт  пиковый котел SAACKE Нестабильноый запуск и горение,Очистка от нагара ротационной форсунки
2021-01-22 00:00:00,ЭК,ГДЭС,ДГУ№6,Вибрация установки на запуске и выбеге,"Полная разборка, чистка, замена уплотнений",ЭК ГДЭС ДГУ№6 Вибрация установки на запуске и выбеге,"Полная разборка, чистка, замена уплотнений"
2021-01-24 00:00:00,ЭК,ГДЭС,ДГУ№5,Трещина ,"Герметизация асбестовым шнуром,установка бандажного хомута.",ЭК ГДЭС ДГУ№5 Трещина ,"Герметизация асбестовым шнуром,установка бандажного хомута."
2021-01-24 00:00:00,ЭК,Мазутное хозяйство,ТМ котельная,Уплотнение крышки,Замена уплотнения,ЭК Мазутное хозяйство ТМ котельная Уплотнение крышки,Замена уплотнения
2021-01-26 00:00:00,ЭК,Мазутное хозяйство,Бустерный модуль,Шум подшипника главного винта. Подтекание мазута через уплотнение,"Замена уплотнения, подшипника.",ЭК Мазутное хозяйство Бустерный модуль Шум подшипника главного винта. Подтекание мазута через уплотнение,"Замена уплотнения, подшипника."
2021-01-27 00:00:00,ЭК,Тепловой пункт Мазутное хозяйство,Внутренний контур теплоносителя,Разрушение пружины,Замена пружины.,ЭК Тепловой пункт Мазутное хозяйство Внутренний контур теплоносителя Разрушение пружины,Замена пружины.
2021-01-28 00:00:00,ЭК, Мазутное хозяйство,Подача мазута на сжигание пикового котла ТПГДЭС,Разрушение вращающейся шайбы уплотнения,"Демонтаж насоса. Разборка.Чистка,Дефектовка. Заявка на уплотнение.",ЭК  Мазутное хозяйство Подача мазута на сжигание пикового котла ТПГДЭС Разрушение вращающейся шайбы уплотнения,"Демонтаж насоса. Разборка.Чистка,Дефектовка. Заявка на уплотнение."
2021-01-29 00:00:00,ЭК,ГДЭС Тепловой пункт, пиковый котел SAACKE,Нестабильный запуск и горение,Очистка от нагара ротационной форсунки,ЭК ГДЭС Тепловой пункт  пиковый котел SAACKE Нестабильный запуск и горение,Очистка от нагара ротационной форсунки
2021-01-31 00:00:00,ЭК,ГДЭС,"ДГУ№1,2,3",Ветхое состояние,Замена по состоянию,"ЭК ГДЭС ДГУ№1,2,3 Ветхое состояние",Замена по состоянию
2021-01-31 00:00:00,ЭК,ГДЭС,ДГУ№6,Засорение,Прочистка трубопровода,ЭК ГДЭС ДГУ№6 Засорение,Прочистка трубопровода
2021-02-03 00:00:00,ЭК,ГДЭС,ДГУ№5,Течь водогрейных трубок.,Ремонт (сварочные работы).,ЭК ГДЭС ДГУ№5 Течь водогрейных трубок.,Ремонт (сварочные работы).
2021-02-04 00:00:00,ЭК,ГДЭС Тепловой пункт, пиковый котел SAACKE,Нестабильный запуск и горение. Срыв пламени.,"Очистка от нагара ротационной форсунки, завихрителя, датчика пламени.",ЭК ГДЭС Тепловой пункт  пиковый котел SAACKE Нестабильный запуск и горение. Срыв пламени.,"Очистка от нагара ротационной форсунки, завихрителя, датчика пламени."
2021-02-04 00:00:00,ЭК,ГДЭС Тепловой пункт,Контур теплоносителя на технологию,засорение,очистка сетки фильтрующего элемента,ЭК ГДЭС Тепловой пункт Контур теплоносителя на технологию засорение,очистка сетки фильтрующего элемента
2021-02-04 00:00:00,ЭК, Мазутное хозяйство,Подача мазута на сжигание пикового котла ТПГДЭС,засорение,очистка сетки фильтрующего элемента,ЭК  Мазутное хозяйство Подача мазута на сжигание пикового котла ТПГДЭС засорение,очистка сетки фильтрующего элемента
2021-02-04 00:00:00,ЭК,ГДЭС,ДГУ№5,Ветхое состояние,Замена по состоянию,ЭК ГДЭС ДГУ№5 Ветхое состояние,Замена по состоянию
2021-02-08 00:00:00,ЭК,ГДЭС,ДГУ№5,Вибрация установки на запуске и выбеге,"Полная разборка, чистка, замена уплотнений",ЭК ГДЭС ДГУ№5 Вибрация установки на запуске и выбеге,"Полная разборка, чистка, замена уплотнений"
2021-02-08 00:00:00,ЭК,ГДЭС,ДГУ№6,Ветхое состояние,Замена по состоянию,ЭК ГДЭС ДГУ№6 Ветхое состояние,Замена по состоянию
2021-02-12 00:00:00,ЭК,ГДЭС,ДГУ№4,Течь водогрейных трубок.,Ремонт (сварочные работы).,ЭК ГДЭС ДГУ№4 Течь водогрейных трубок.,Ремонт (сварочные работы).
2021-02-12 00:00:00,ЭК,ГДЭС Тепловой пункт, пиковый котел(горелка SAACKE),Не запускается (нет розжига),"Неисправен электрод зажигания,пробой изолятора (замена на новый)",ЭК ГДЭС Тепловой пункт  пиковый котел(горелка SAACKE) Не запускается (нет розжига),"Неисправен электрод зажигания,пробой изолятора (замена на новый)"
2021-02-19 00:00:00,ЭК,ГДЭС,ДГУ№5,Течь водогрейных трубок.,Ремонт (сварочные работы).,ЭК ГДЭС ДГУ№5 Течь водогрейных трубок.,Ремонт (сварочные работы).
2021-03-12 00:00:00,ЭК,ГДЭС Тепловой пункт, пиковый котел,Не запускается ,"Визуальный осмотр состояния газотрубной части, обмуровки передней камеры. Чистка форсунки, завихрителя. Очистка газового коллектора котла от сажи через люк в задней камере котла..",ЭК ГДЭС Тепловой пункт  пиковый котел Не запускается ,"Визуальный осмотр состояния газотрубной части, обмуровки передней камеры. Чистка форсунки, завихрителя. Очистка газового коллектора котла от сажи через люк в задней камере котла.."
2021-03-14 00:00:00,ЭК,ГДЭС ,Дренажная система ,перемерзание участка трубы в грунте вне помещения,пропаривание и разогрев замороженого участка,ЭК ГДЭС  Дренажная система  перемерзание участка трубы в грунте вне помещения,пропаривание и разогрев замороженого участка
2021-03-13 00:00:00,ЭК, Мазутное хозяйство,Подача мазута на сепарацию В,засорение,очистка сетки фильтрующего элемента,ЭК  Мазутное хозяйство Подача мазута на сепарацию В засорение,очистка сетки фильтрующего элемента
2021-03-15 00:00:00,ЭК, Мазутное хозяйство,Бустерный модуль,засорение,очистка сетки фильтрующего элемента,ЭК  Мазутное хозяйство Бустерный модуль засорение,очистка сетки фильтрующего элемента
2021-03-18 00:00:00,ЭК, Мазутное хозяйство,Подача мазута на сепарацию А,засорение,очистка сетки фильтрующего элемента,ЭК  Мазутное хозяйство Подача мазута на сепарацию А засорение,очистка сетки фильтрующего элемента
2021-03-18 00:00:00,ЭК, Мазутное хозяйство,Подача мазута на сепарацию В,засорение,очистка сетки фильтрующего элемента,ЭК  Мазутное хозяйство Подача мазута на сепарацию В засорение,очистка сетки фильтрующего элемента
2021-03-19 00:00:00,ЭК,ГДЭС,ДГ-1,неуд. состояние,замена,ЭК ГДЭС ДГ-1 неуд. состояние,замена
2021-03-20 00:00:00,ЭК,ГДЭС,ДГ-1,неуд. состояние уплотнений в соединении,замена,ЭК ГДЭС ДГ-1 неуд. состояние уплотнений в соединении,замена
2021-03-22 00:00:00,ЭК,ГДЭС,ДГ-3,Вибрация,Полная моточистка с частичной заменой уплотнений. Замена подшипников шпинделя.,ЭК ГДЭС ДГ-3 Вибрация,Полная моточистка с частичной заменой уплотнений. Замена подшипников шпинделя.
2021-03-24 00:00:00,ЭК,ГДЭС," шиберный насос BLACKMER SNP 2.5 №1,№2",0,замена масла в редукторе ,"ЭК ГДЭС  шиберный насос BLACKMER SNP 2.5 №1,№2 0",замена масла в редукторе 
2021-03-25 00:00:00,ЭК,ГДЭС,ДГУ№6,Течь водогрейных трубок.,Ремонт (сварочные работы).,ЭК ГДЭС ДГУ№6 Течь водогрейных трубок.,Ремонт (сварочные работы).
2021-03-27 00:00:00,ЭК,ГДЭС Тепловой пункт,Насос подпитки Wilo Helix V1612,износ,замена,ЭК ГДЭС Тепловой пункт Насос подпитки Wilo Helix V1612 износ,замена
2021-03-31 00:00:00,ЭК,ГДЭС,ДГУ№2,Нагар на лопатках направляющего аппарата турбины и внутреннего корпуса,Демонтаж картриджа турбины. Очистка от нагара рабочего колеса и напр. аппарата турбины,ЭК ГДЭС ДГУ№2 Нагар на лопатках направляющего аппарата турбины и внутреннего корпуса,Демонтаж картриджа турбины. Очистка от нагара рабочего колеса и напр. аппарата турбины
2021-04-02 00:00:00,ЭК,ГДЭС,ДГУ№6,Негерметичность уплотнений корпуса и плунжера ТНВД,замена на исправный,ЭК ГДЭС ДГУ№6 Негерметичность уплотнений корпуса и плунжера ТНВД,замена на исправный
2021-04-04 00:00:00,ЭК,ГДЭС,ТНВД 4шт.,0,"Разборка, чистка, замена уплотнительных колец",ЭК ГДЭС ТНВД 4шт. 0,"Разборка, чистка, замена уплотнительных колец"
2021-04-14 00:00:00,ЭК,ГДЭС,ДГУ№6,Нагар на лопатках направляющего аппарата турбины и внутреннего корпуса,Демонтаж картриджа турбины. Очистка от нагара рабочего колеса и напр. аппарата турбины,ЭК ГДЭС ДГУ№6 Нагар на лопатках направляющего аппарата турбины и внутреннего корпуса,Демонтаж картриджа турбины. Очистка от нагара рабочего колеса и напр. аппарата турбины
2021-04-16 00:00:00,ЭК,ГДЭС,ДГУ№4,Течь водогрейных трубок.,Ремонт (сварочные работы).,ЭК ГДЭС ДГУ№4 Течь водогрейных трубок.,Ремонт (сварочные работы).
2021-04-22 00:00:00,ЭК,ГДЭС,ДГУ№2,Износ,Замена компенсатора.,ЭК ГДЭС ДГУ№2 Износ,Замена компенсатора.
2021-04-26 00:00:00,ЭК,ГДЭС,ДГУ№5,Течь водогрейных трубок.,Ремонт (сварочные работы).,ЭК ГДЭС ДГУ№5 Течь водогрейных трубок.,Ремонт (сварочные работы).
2021-05-01 00:00:00,ЭК,ГДЭС,ДГУ№4,Течь водогрейных трубок.,Ремонт (сварочные работы).,ЭК ГДЭС ДГУ№4 Течь водогрейных трубок.,Ремонт (сварочные работы).
2021-05-03 00:00:00,ЭК,ГДЭС,ДГУ№5,Течь водогрейных трубок.,Ремонт (сварочные работы).,ЭК ГДЭС ДГУ№5 Течь водогрейных трубок.,Ремонт (сварочные работы).
2021-05-06 00:00:00,ЭК,ГДЭС,Топливный насос (основной) Blackmer,Течь масла через сальниковые уплотнения,Замена уплотнений (новые),ЭК ГДЭС Топливный насос (основной) Blackmer Течь масла через сальниковые уплотнения,Замена уплотнений (новые)
2021-05-09 00:00:00,ЭК,ГДЭС,ДГУ№2,Износ,Замена.,ЭК ГДЭС ДГУ№2 Износ,Замена.
2021-05-15 00:00:00,ЭК,ГДЭС,ДГУ№6,Износ (заклинил),Замена (новый),ЭК ГДЭС ДГУ№6 Износ (заклинил),Замена (новый)
2021-05-16 00:00:00,ЭК,ГДЭС,ДГУ№6,Износ,Замена.,ЭК ГДЭС ДГУ№6 Износ,Замена.
2021-05-16 00:00:00,ЭК,ГДЭС,ДГУ№6,Заклинивание,Замена.,ЭК ГДЭС ДГУ№6 Заклинивание,Замена.
2021-05-25 00:00:00,ЭК,ГДЭС,ДГУ№4,Износ вала вентилятора,Ремонт (РМЦ),ЭК ГДЭС ДГУ№4 Износ вала вентилятора,Ремонт (РМЦ)
2021-05-26 00:00:00,ЭК,ГДЭС,ДГУ№4,Течь водогрейных трубок (15шт).,Ремонт (сварочные работы).,ЭК ГДЭС ДГУ№4 Течь водогрейных трубок (15шт).,Ремонт (сварочные работы).
2021-05-26 00:00:00,ЭК,ГДЭС,ДГУ№4,Износ (заклинил),Замена (новый),ЭК ГДЭС ДГУ№4 Износ (заклинил),Замена (новый)
2021-05-28 00:00:00,ЭК,ГДЭС,ДГУ№5,Течь водогрейных трубок (10шт).,Ремонт (сварочные работы).,ЭК ГДЭС ДГУ№5 Течь водогрейных трубок (10шт).,Ремонт (сварочные работы).
2021-06-01 00:00:00,ЭК,ГДЭС,ДГУ№5,Течь по уплотнениям,Ремонт замена уплотнений,ЭК ГДЭС ДГУ№5 Течь по уплотнениям,Ремонт замена уплотнений
2021-06-03 00:00:00,ЭК,ГДЭС,Сепаратор масла ДГУ№4,"температура, вибрация , мех. воздействие (?)",Клей.Установка дополнительных  элементов жесткости,"ЭК ГДЭС Сепаратор масла ДГУ№4 температура, вибрация , мех. воздействие (?)",Клей.Установка дополнительных  элементов жесткости
2021-06-11 00:00:00,ЭК,ГДЭС,ДГУ№6,Некорректная работа системы запуска и управления ЧВ,Замена подшипников,ЭК ГДЭС ДГУ№6 Некорректная работа системы запуска и управления ЧВ,Замена подшипников
2021-06-16 00:00:00,ЭК,ДГУ №2,Цилиндропоршневая группа,В документации на обслуживание шатунов не предоставлена информация по операциям с заглушками. Поэтому на состояние заглушек не обращалось должное внимание,"Замена втулки цилиндра, поршня, шатуна, пальца",ЭК ДГУ №2 Цилиндропоршневая группа В документации на обслуживание шатунов не предоставлена информация по операциям с заглушками. Поэтому на состояние заглушек не обращалось должное внимание,"Замена втулки цилиндра, поршня, шатуна, пальца"
2021-06-20 00:00:00,ЭК,ДГУ №1,Система смазки,Засорение редуционного клапана,"Снятие, разборка, чистка.",ЭК ДГУ №1 Система смазки Засорение редуционного клапана,"Снятие, разборка, чистка."
2021-06-22 00:00:00,ЭК,ДГУ №5,Система газораспределения,Износ элементов. Загрязнение.,"Снятие, разборка, чистка. Замена дефектных элементов.",ЭК ДГУ №5 Система газораспределения Износ элементов. Загрязнение.,"Снятие, разборка, чистка. Замена дефектных элементов."
2021-06-23 00:00:00,ЭК,ДГУ №4,Масленая система,Усталось металла в результате тепловых нагрузок и вибраций,"Снятие, разборка, чистка. Ремонт сваркой.",ЭК ДГУ №4 Масленая система Усталось металла в результате тепловых нагрузок и вибраций,"Снятие, разборка, чистка. Ремонт сваркой."
2021-06-23 00:00:00,ЭК,ДГУ №4,Система наддува,Усталось металла в результате тепловых нагрузок и вибраций,"Снятие, разборка, чистка. Ремонт сваркой.",ЭК ДГУ №4 Система наддува Усталось металла в результате тепловых нагрузок и вибраций,"Снятие, разборка, чистка. Ремонт сваркой."
2021-06-26 00:00:00,ЭК,ДГУ №5,Система охлаждения LT контур,Длительная эксплуатация,Заменен новым.,ЭК ДГУ №5 Система охлаждения LT контур Длительная эксплуатация,Заменен новым.
2021-07-02 00:00:00,ЭК,ДГУ №2,Система смазки,Засорение редуционного клапана,"Снятие, разборка, чистка.",ЭК ДГУ №2 Система смазки Засорение редуционного клапана,"Снятие, разборка, чистка."
2021-07-18 00:00:00,ЭК,ДГУ №4,Система газораспределения,Износ элементов. Загрязнение.,"Снятие, разборка, чистка. Замена дефектных элементов.",ЭК ДГУ №4 Система газораспределения Износ элементов. Загрязнение.,"Снятие, разборка, чистка. Замена дефектных элементов."
2021-08-01 00:00:00,ЭК,ДГУ №6,Система газораспределения,Износ элементов. Загрязнение.,"Снятие, разборка, чистка. Замена дефектных элементов.",ЭК ДГУ №6 Система газораспределения Износ элементов. Загрязнение.,"Снятие, разборка, чистка. Замена дефектных элементов."
2021-08-04 00:00:00,ЭК,ДГУ №1,Система газораспределения,Износ элементов. Загрязнение.,"Снятие, разборка, чистка. Замена дефектных элементов.",ЭК ДГУ №1 Система газораспределения Износ элементов. Загрязнение.,"Снятие, разборка, чистка. Замена дефектных элементов."
2021-08-06 00:00:00,ЭК,ДГУ №5,Топливная система,Износ элементов уплотнения.,"Снятие, разборка, чистка. Замена дефектных элементов.",ЭК ДГУ №5 Топливная система Износ элементов уплотнения.,"Снятие, разборка, чистка. Замена дефектных элементов."
2021-08-11 00:00:00,ЭК,ДГУ №6,Топливная система,Износ элементов уплотнения.,"Снятие, разборка, чистка. Замена дефектных элементов.",ЭК ДГУ №6 Топливная система Износ элементов уплотнения.,"Снятие, разборка, чистка. Замена дефектных элементов."
2021-08-11 00:00:00,ЭК,ДГУ №2,Масляная система,Загрязнение.,"Разборка, очистка. Сборка.",ЭК ДГУ №2 Масляная система Загрязнение.,"Разборка, очистка. Сборка."
2021-08-17 00:00:00,ЭК,ДГУ №6,Топливная система,Износ элементов уплотнения.,"Снятие, разборка, чистка. Замена дефектных элементов.",ЭК ДГУ №6 Топливная система Износ элементов уплотнения.,"Снятие, разборка, чистка. Замена дефектных элементов."
2021-08-19 00:00:00,ЭК,ДГУ №6,Система охлаждения форсунок,Износ элементов уплотнения.,Замена шланга.,ЭК ДГУ №6 Система охлаждения форсунок Износ элементов уплотнения.,Замена шланга.
2021-08-06 00:00:00,ЭК,ДГУ №4,Топливная система,Износ элементов уплотнения.,"Снятие, разборка, чистка. Замена дефектных элементов.",ЭК ДГУ №4 Топливная система Износ элементов уплотнения.,"Снятие, разборка, чистка. Замена дефектных элементов."
2021-09-12 00:00:00,ЭК,ДГУ №6,Котел утилизатор,Течь водогрейных трубок.,Ремонт (сварочные работы).,ЭК ДГУ №6 Котел утилизатор Течь водогрейных трубок.,Ремонт (сварочные работы).
2021-09-25 00:00:00,ЭК,Приемный резервуар мазута,Насосное оборудование,Износ,"Демонтаж,разборка,замена винтовой пары",ЭК Приемный резервуар мазута Насосное оборудование Износ,"Демонтаж,разборка,замена винтовой пары"
2021-10-11 00:00:00,ЭК,ДГУ №4,Топливопровод,Износ,"Демонтаж,разборка,замена уплотнения.",ЭК ДГУ №4 Топливопровод Износ,"Демонтаж,разборка,замена уплотнения."
2021-10-23 00:00:00,ЭК,ДГУ №6,Система газораспределения,Износ,Демонтаж разрушенных. Замена дефектных элементов.,ЭК ДГУ №6 Система газораспределения Износ,Демонтаж разрушенных. Замена дефектных элементов.
2021-11-11 00:00:00,ЭК,ДГУ №6,Система наддува,Износ,Замена компрессорного колеса.,ЭК ДГУ №6 Система наддува Износ,Замена компрессорного колеса.
2021-11-15 00:00:00,ЭК,ДГУ №5,Котел утилизатор,Течь водогрейных трубок.,Ремонт (сварочные работы).,ЭК ДГУ №5 Котел утилизатор Течь водогрейных трубок.,Ремонт (сварочные работы).
2021-11-21 00:00:00,ЭК,ДГУ №1,Котел утилизатор,Течь водогрейных трубок.,Ремонт (сварочные работы).,ЭК ДГУ №1 Котел утилизатор Течь водогрейных трубок.,Ремонт (сварочные работы).
2021-11-23 00:00:00,ЭК,ДГУ №5,Котел утилизатор,Течь водогрейных трубок.,Ремонт (сварочные работы).,ЭК ДГУ №5 Котел утилизатор Течь водогрейных трубок.,Ремонт (сварочные работы).
2021-11-26 00:00:00,ЭК,ДГУ №2,Система смазки,"Течь масла,трещина патрубка",Ремонт (сварочные работы).,"ЭК ДГУ №2 Система смазки Течь масла,трещина патрубка",Ремонт (сварочные работы).
2021-11-27 00:00:00,ЭК,Приемный резервуар мазута,Насосное оборудование,Износ,"Демонтаж,разборка,замена замена приводной шестерни редуктора.",ЭК Приемный резервуар мазута Насосное оборудование Износ,"Демонтаж,разборка,замена замена приводной шестерни редуктора."
2021-12-06 00:00:00,ЭК,Пиковый котел,Горелка SAACKE,Некорректная работа системы ,Ремонт,ЭК Пиковый котел Горелка SAACKE Некорректная работа системы ,Ремонт
2021-12-01 00:00:00,ЭК,ДГУ №2,Система смазки,Заклинивание клапана.,"Чистка,мойка шлифовка рабочей поверхности клапана.",ЭК ДГУ №2 Система смазки Заклинивание клапана.,"Чистка,мойка шлифовка рабочей поверхности клапана."
2021-12-12 00:00:00,ЭК,ДГУ №5,Котел утилизатор,Течь водогрейных трубок.,Ремонт (сварочные работы).,ЭК ДГУ №5 Котел утилизатор Течь водогрейных трубок.,Ремонт (сварочные работы).
2022-01-04 00:00:00,ЭК,ДГУ №2,Система газораспределения,Износ,Демонтаж разрушенных. Замена дефектных элементов.,ЭК ДГУ №2 Система газораспределения Износ,Демонтаж разрушенных. Замена дефектных элементов.
2022-01-06 00:00:00,ЭК,ДГУ №2,Система газораспределения,Износ,Демонтаж разрушенных. Замена дефектных элементов.,ЭК ДГУ №2 Система газораспределения Износ,Демонтаж разрушенных. Замена дефектных элементов.
2022-01-20 00:00:00,ЭК,ДГУ №4,Система охлаждения двигателя,Разрушение материала уплотнительного кольца.,Замена уплотнений,ЭК ДГУ №4 Система охлаждения двигателя Разрушение материала уплотнительного кольца.,Замена уплотнений
2022-01-20 00:00:00,ЭК,ДГУ №4,Система охлаждения двигателя,Разрушение материала уплотнительного кольца.,Замена уплотнений,ЭК ДГУ №4 Система охлаждения двигателя Разрушение материала уплотнительного кольца.,Замена уплотнений
2022-01-28 00:00:00,ЭК,ДГУ №4,Система охлаждения двигателя,Износ подшипника,Демонтаж разрушенных. Замена дефектных элементов.,ЭК ДГУ №4 Система охлаждения двигателя Износ подшипника,Демонтаж разрушенных. Замена дефектных элементов.
2022-02-20 00:00:00,ЭК,ДГУ №2,Цилиндропоршневая группа,Усталость металла.,Демонтаж неисправного клапана. Замена.,ЭК ДГУ №2 Цилиндропоршневая группа Усталость металла.,Демонтаж неисправного клапана. Замена.
2022-04-10 00:00:00,ЭК,ДГУ №6,Цилиндропоршневая группа,Усталость металла.,Демонтаж неисправной шпильки. Замена.,ЭК ДГУ №6 Цилиндропоршневая группа Усталость металла.,Демонтаж неисправной шпильки. Замена.
2022-04-13 00:00:00,ЭК,"Теплообменник CBM 110-40L-F сепаратора ""В""",Пластина стальная,Износ ,Демонтаж замена на новый ТТ95-50Н-4.5 ,"ЭК Теплообменник CBM 110-40L-F сепаратора ""В"" Пластина стальная Износ ",Демонтаж замена на новый ТТ95-50Н-4.5 
2022-04-16 00:00:00,ЭК,"Теплообменник CBM 110-40L-F сепаратора ""A""",Пластина стальная,Износ ,Демонтаж замена на новый ТТ95-50Н-4.5 ,"ЭК Теплообменник CBM 110-40L-F сепаратора ""A"" Пластина стальная Износ ",Демонтаж замена на новый ТТ95-50Н-4.5 
2022-04-19 00:00:00,ЭК,Блок топливоподачи,Циркуляционный насос KRAL KV-160.BBA-008013,Износ подшипника,"Демонтаж насоса,чистка,мойка,замена подшипника,торцевого уплотнения.",ЭК Блок топливоподачи Циркуляционный насос KRAL KV-160.BBA-008013 Износ подшипника,"Демонтаж насоса,чистка,мойка,замена подшипника,торцевого уплотнения."
2022-04-19 00:00:00,ЭК,ДГУ №5,Цилиндропоршневая группа,Износ ,Замена ГБЦ (установлена ремонтная),ЭК ДГУ №5 Цилиндропоршневая группа Износ ,Замена ГБЦ (установлена ремонтная)
2022-04-20 00:00:00,ЭК,ДГУ №5,Топливная система,"Износ, отсутствие ЗИПа (топливных распытителей).",Демонтаж замена на б/у.,"ЭК ДГУ №5 Топливная система Износ, отсутствие ЗИПа (топливных распытителей).",Демонтаж замена на б/у.
2022-05-01 00:00:00,ЭК,ДГУ №1,Цилиндропоршневая группа,Износ ,Замена ГБЦ (установлена ремонтная),ЭК ДГУ №1 Цилиндропоршневая группа Износ ,Замена ГБЦ (установлена ремонтная)
2022-05-08 00:00:00,ЭК,ДГУ №1,Система охлаждения ДГУ,Износ (трещина втулки).,Замена (токарные работы РМЦ).,ЭК ДГУ №1 Система охлаждения ДГУ Износ (трещина втулки).,Замена (токарные работы РМЦ).
